location,Rheumatoid arthritis_val_DALYs (Disability-Adjusted Life Years),Osteoarthritis_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_DALYs (Disability-Adjusted Life Years),Neck pain_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_Prevalence,Osteoarthritis_val_Prevalence,Rheumatoid arthritis_val_Prevalence,Neck pain_val_Prevalence,Rheumatoid arthritis_val_Incidence,Low back pain_val_Incidence,Osteoarthritis_val_Incidence,Neck pain_val_Incidence,Rheumatoid arthritis_val_Deaths,Migraine_val_DALYs (Disability-Adjusted Life Years),Migraine_val_Incidence,co2_emissions,waste
Palestine,0.0005238396595784,0.0052146321797104,0.03339870018549,0.0126621445547406,,,,,1.13337553225e-05,0.0067932866669973,0.0007291114496981,0.0013524950066833,7.361669890235612e-05,0.0258118817433615,0.0031934232913905,,
Poland,0.0015946015167856,0.0111220242717355,0.0481092001401024,0.0083107008745747,0.1823342684301084,0.1321079112679381,0.0039713172232695,0.0355634752638655,4.25395657353e-05,0.0186688080191141,0.0022489908143038,0.0019458966324747,,,,9337107.230136631,4364876.202574136
Portugal,0.0021056713353719,0.014971772730202,0.0486289207405545,0.0119530643650581,0.1562773148710803,0.1500272681598568,0.0046442643780889,0.0434417905049241,5.13524271064e-05,0.015121166643048,0.002333002225249,0.0014650437996439,,,,153967.80000000002,2538629.5673686326
Qatar,0.001020529174864,0.007450605003359,0.0541716594574947,0.0192958654975635,,,,,1.76114893667e-05,0.0087354411694339,0.0011903796379554,0.0017379765492012,5.800883579047854e-05,0.0375777137189233,0.0029242157266407,529609.7633333333,1265794.9306281535
Republic of Moldova,0.000715327937746,0.0089131322576667,0.0358247513765591,0.0065142885110989,,,,,1.72889083842e-05,0.0139793242126638,0.0018985089913661,0.0014097710063533,0.0002388401227985,0.0132801346606224,0.0021724571790533,,
Romania,0.0005284555939989,0.0086725979298533,0.0411572788263368,0.0060508917305239,0.1856907211392119,0.1236870926764724,0.0020013259253032,0.030877522606954,2.10949401843e-05,0.0182625383312365,0.0020968420303379,0.0015577398201786,,,,2728435.776809557,6645295.723571717
Russian Federation,0.0010367230638816,0.0088697652604727,0.0310881646864352,0.0062709228969477,,,,,2.15440436334e-05,0.0126582040281938,0.001864496613554,0.001519339992625,0.00044864276092,0.0125868758358452,0.0020824231448307,55399777.737098604,81255514.23643762
San Marino,0.0013044593053142,0.0192034714578668,0.055157504468638,0.0150867939927744,0.139514804111625,0.1512953776215092,0.0025266638719418,0.043227316813147,2.42829697801e-05,0.0130355862953899,0.0022429486881155,0.0013664410453402,,,,0.0,0.0
Saudi Arabia,0.000588261083708,0.0057771095234184,0.0348191020598373,0.013712058286099,,,,,1.35086350995e-05,0.0086633670270997,0.0012270735245397,0.0018207398969312,8.305516337102008e-05,0.0244598270691918,0.0030755040274848,4739566.376666667,13117748.454722775
Serbia,0.0009092163538967,0.0090729813759182,0.0435479005029495,0.0065027023845843,0.1813153664581411,0.1196376604879614,0.0026223261925441,0.0305778064491364,2.91814504502e-05,0.0176405455822863,0.0019902805482241,0.0015340446985178,,,,0.0,2005669.189753891
Slovakia,0.0007771421169028,0.0104649721443477,0.0466239356676881,0.0071504938717822,0.177735811730471,0.1257460293262648,0.0020823996563065,0.0308071943072767,2.27359120351e-05,0.0177545522532044,0.0021775625514413,0.0015720949730368,,,,1098423.9462414167,1769941.9967503818
Slovenia,0.0025313695276416,0.0145849035510258,0.0555733013479935,0.0089198298160549,0.1744027315904112,0.1436712289177471,0.005649041070802,0.0316025592907639,6.46074455161e-05,0.0181744435301221,0.0023738165592846,0.0016245540552578,,,,0.0,263467.54041675985
Spain,0.0020036859629277,0.0163824944648096,0.03974874387493,0.0110201905097165,0.112323768931494,0.1443371933482056,0.0041034431070903,0.0351496631022284,5.04263300371e-05,0.0120788234778418,0.0022626105888769,0.0012497857086764,,,,1866545.2702190077,12081699.895460254
Sudan,0.0002927956142895,0.0028505913874924,0.022127690920116,0.0081553857341314,,,,,7.7617945959e-06,0.0062234422859047,0.0005773253264096,0.0012304633596746,9.444987757475278e-05,0.0173230789788106,0.0030116646292476,0.0,4111620.5799771682
